Date,Timepoint,Treatment,Rep,Plated,Count,Dilution,Titer,Status,Notes
20211122,6,2811,6,Bacteria,532,3,5.32E+06,Good,
20211122,6,Cocktail,1,Bacteria,125,6,1.25E+09,Good,
20211122,6,Cocktail,2,Bacteria,143,6,1.43E+09,Good,
20211122,6,Cocktail,3,Bacteria,17,4,1.70E+06,Good,
20211122,6,Cocktail,4,Bacteria,92,6,9.20E+08,Good,
20211122,6,Cocktail,5,Bacteria,522,4,5.22E+07,Good,
20211122,6,Cocktail,6,Bacteria,13,3,1.30E+05,Good,
20211122,6,2811,1,Phage_606,0,0,0.00E+00,Good,
20211122,6,2811,2,Phage_606,0,0,0.00E+00,Good,
20211122,6,2811,3,Phage_606,8,2,4.00E+05,Good,
20211122,6,2811,4,Phage_606,0,0,0.00E+00,Good,
20211122,6,2811,5,Phage_606,0,0,0.00E+00,Good,
20211122,6,2811,6,Phage_606,5,3,2.50E+06,Good,
20211122,6,Cocktail,1,Phage_606,8,4,4.00E+07,Good,
20211122,6,Cocktail,2,Phage_606,6,4,3.00E+07,Good,
20211122,6,Cocktail,3,Phage_606,4,4,2.00E+07,Good,
20211122,6,Cocktail,4,Phage_606,9,2,4.50E+05,Good,
20211122,6,Cocktail,5,Phage_606,31,5,1.55E+09,Good,
20211122,6,Cocktail,6,Phage_606,5,4,2.50E+07,Good,
20211122,6,2811,1,Phage_Lminus,0,0,0.00E+00,Good,
20211122,6,2811,2,Phage_Lminus,0,0,0.00E+00,Good,
20211122,6,2811,3,Phage_Lminus,18,2,9.00E+05,Good,
20211122,6,2811,4,Phage_Lminus,0,0,0.00E+00,Good,
20211122,6,2811,5,Phage_Lminus,0,0,0.00E+00,Good,
20211122,6,2811,6,Phage_Lminus,20,3,1.00E+07,Good,
20211122,6,Cocktail,1,Phage_Lminus,3,2,1.50E+05,Good,
20211122,6,Cocktail,2,Phage_Lminus,4,3,2.00E+06,Good,
20211122,6,Cocktail,3,Phage_Lminus,3,4,1.50E+07,Good,
20211122,6,Cocktail,4,Phage_Lminus,8,2,4.00E+05,Good,
20211122,6,Cocktail,5,Phage_Lminus,13,5,6.50E+08,Good,
20211122,6,Cocktail,6,Phage_Lminus,4,5,2.00E+08,Good,
20211122,6,2811,1,Phage_Ominus,0,0,0.00E+00,Good,
20211122,6,2811,2,Phage_Ominus,0,0,0.00E+00,Good,
20211122,6,2811,3,Phage_Ominus,19,2,9.50E+05,Good,
20211122,6,2811,4,Phage_Ominus,0,0,0.00E+00,Good,
20211122,6,2811,5,Phage_Ominus,0,0,0.00E+00,Good,
20211122,6,2811,6,Phage_Ominus,17,3,8.50E+06,Good,
20211122,6,Cocktail,1,Phage_Ominus,7,3,3.50E+06,Good,
20211122,6,Cocktail,2,Phage_Ominus,4,3,2.00E+06,Good,
20211122,6,Cocktail,3,Phage_Ominus,19,2,9.50E+05,Good,
20211122,6,Cocktail,4,Phage_Ominus,26,0,1.30E+04,Good,
20211122,6,Cocktail,5,Phage_Ominus,13,6,6.50E+09,Good,
20211122,6,Cocktail,6,Phage_Ominus,33,3,1.65E+07,Good,
20211123,7,2811,1,Bacteria,0,0,0.00E+00,Good,
20211123,7,2811,2,Bacteria,6,6,6.00E+07,Good,
20211123,7,2811,3,Bacteria,332,2,3.32E+05,Good,
20211123,7,2811,4,Bacteria,0,0,0.00E+00,Good,
20211123,7,2811,5,Bacteria,0,0,0.00E+00,Good,
20211123,7,2811,6,Bacteria,224,2,2.24E+05,Good,
20211123,7,Cocktail,1,Bacteria,148,6,1.48E+09,Good,
20211123,7,Cocktail,2,Bacteria,185,6,1.85E+09,Good,
20211123,7,Cocktail,3,Bacteria,44,3,4.40E+05,Good,
20211123,7,Cocktail,4,Bacteria,196,6,1.96E+09,Good,
20211123,7,Cocktail,5,Bacteria,138,6,1.38E+09,Good,
20211123,7,Cocktail,6,Bacteria,38,5,3.80E+07,Good,
20211123,7,2811,1,Phage_606,0,0,0.00E+00,Good,
20211123,7,2811,2,Phage_606,0,0,0.00E+00,Good,
20211123,7,2811,3,Phage_606,9,3,4.50E+06,Good,
20211123,7,2811,4,Phage_606,0,0,0.00E+00,Good,
20211123,7,2811,5,Phage_606,0,0,0.00E+00,Good,
20211123,7,2811,6,Phage_606,12,3,6.00E+06,Good,
20211123,7,Cocktail,1,Phage_606,5,3,2.50E+06,Good,
