Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer,Status,Notes
20210520,EvoC,7,2,Phage_Lminus,17,4,8.50E+07,Good,
20210520,EvoC,8,2,Phage_Lminus,3,4,1.50E+07,Good,
20210520,EvoC,9,2,Phage_Lminus,13,4,6.50E+07,Good,
20210520,EvoC,10,2,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210520,EvoC,11,2,Phage_Lminus,6,5,3.00E+08,Good,
20210520,EvoC,12,2,Phage_Lminus,0,0,0.00E+00,Good,
20210520,L+O,1,2,Phage_Lminus,24,4,1.20E+08,Good,
20210520,L+O,2,2,Phage_Lminus,5,4,2.50E+07,Good,
20210520,L+O,3,2,Phage_Lminus,2,5,1.00E+08,Good,
20210520,L+O,4,2,Phage_Lminus,13,3,6.50E+06,Good,
20210520,L+O,5,2,Phage_Lminus,18,3,9.00E+06,Good,
20210520,L+O,6,2,Phage_Lminus,6,4,3.00E+07,Good,
20210520,L+O,7,2,Phage_Lminus,14,4,7.00E+07,Good,
20210520,L+O,8,2,Phage_Lminus,6,4,3.00E+07,Good,
20210520,L+O,9,2,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210520,L+O,10,2,Phage_Lminus,25,4,1.25E+08,Good,
20210520,L+O,11,2,Phage_Lminus,35,3,1.75E+07,Good,
20210520,L+O,12,2,Phage_Lminus,22,3,1.10E+07,Good,
20210520,EvoC,1,2,Phage_Ominus,49,2,2.45E+06,Good,
20210520,EvoC,2,2,Phage_Ominus,14,2,7.00E+05,Good,
20210520,EvoC,3,2,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210520,EvoC,4,2,Phage_Ominus,13,4,6.50E+07,Good,
20210520,EvoC,5,2,Phage_Ominus,3,4,1.50E+07,Good,
20210520,EvoC,6,2,Phage_Ominus,8,4,4.00E+07,Good,
20210520,EvoC,7,2,Phage_Ominus,22,4,1.10E+08,Good,
20210520,EvoC,8,2,Phage_Ominus,4,4,2.00E+07,Good,
20210520,EvoC,9,2,Phage_Ominus,14,4,7.00E+07,Good,
20210520,EvoC,10,2,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210520,EvoC,11,2,Phage_Ominus,10,5,5.00E+08,Good,
20210520,EvoC,12,2,Phage_Ominus,0,0,0.00E+00,Good,
20210520,L+O,1,2,Phage_Ominus,9,5,4.50E+08,Good,
20210520,L+O,2,2,Phage_Ominus,19,4,9.50E+07,Good,
20210520,L+O,3,2,Phage_Ominus,13,4,6.50E+07,Good,
20210520,L+O,4,2,Phage_Ominus,6,1,3.00E+04,Good,
20210520,L+O,5,2,Phage_Ominus,34,5,1.70E+09,Good,
20210520,L+O,6,2,Phage_Ominus,2,0,1.00E+03,Good,
20210520,L+O,7,2,Phage_Ominus,15,4,7.50E+07,Good,
20210520,L+O,8,2,Phage_Ominus,46,2,2.30E+06,Good,
20210520,L+O,9,2,Phage_Ominus,0,0,0.00E+00,REMOVE,
20210520,L+O,10,2,Phage_Ominus,16,6,8.00E+09,Good,
20210520,L+O,11,2,Phage_Ominus,6,2,3.00E+05,Good,
20210520,L+O,12,2,Phage_Ominus,31,2,1.55E+06,Good,
20210521,EvoC,1,3,Bacteria,332,4,3.32E+07,Good,
20210521,EvoC,2,3,Bacteria,175,6,1.75E+09,Good,
20210521,EvoC,3,3,Bacteria,148,6,1.48E+09,REMOVE,
20210521,EvoC,4,3,Bacteria,6,4,6.00E+05,Good,
20210521,EvoC,5,3,Bacteria,127,6,1.27E+09,Good,
20210521,EvoC,6,3,Bacteria,8,6,8.00E+07,Good,
20210521,EvoC,7,3,Bacteria,129,5,1.29E+08,Good,
20210521,EvoC,8,3,Bacteria,800,2,8.00E+05,Good,
20210521,EvoC,9,3,Bacteria,9,0,9.00E+01,Good,
20210521,EvoC,10,3,Bacteria,157,6,1.57E+09,REMOVE,
20210521,EvoC,11,3,Bacteria,47,6,4.70E+08,Good,
20210521,EvoC,12,3,Bacteria,0,0,0.00E+00,Good,
20210521,L+O,1,3,Bacteria,144,2,1.44E+05,Good,
20210521,L+O,2,3,Bacteria,1276,2,1.28E+06,Good,
20210521,L+O,3,3,Bacteria,71,2,7.10E+04,Good,
20210521,L+O,4,3,Bacteria,14,2,1.40E+04,Good,
20210521,L+O,5,3,Bacteria,5656,2,5.66E+06,Good,
